,Date,Transaction Count
231,25-02-2020 00:00,3236719
232,26-02-2020 00:00,3228708
233,27-02-2020 00:00,2755184
234,28-02-2020 00:00,2744695
235,29-02-2020 00:00,2767947
236,01-03-2020 00:00,2764218
237,02-03-2020 00:00,2834068
238,03-03-2020 00:00,3131761
239,04-03-2020 00:00,3123750
240,05-03-2020 00:00,2650226
241,06-03-2020 00:00,2639737
242,07-03-2020 00:00,2662989
243,08-03-2020 00:00,2771037
244,09-03-2020 00:00,2840888
245,10-03-2020 00:00,3138581
246,11-03-2020 00:00,3130570
247,12-03-2020 00:00,2657045
248,13-03-2020 00:00,2646556
249,14-03-2020 00:00,2669808
250,15-03-2020 00:00,2777857
251,16-03-2020 00:00,2847707
252,17-03-2020 00:00,3145401
253,18-03-2020 00:00,3137389
254,19-03-2020 00:00,2663865
255,20-03-2020 00:00,2653376
256,21-03-2020 00:00,2676628
257,22-03-2020 00:00,2784677
258,23-03-2020 00:00,2854527
259,24-03-2020 00:00,3152220
260,25-03-2020 00:00,3144209
261,26-03-2020 00:00,2670685
262,27-03-2020 00:00,2660196
263,28-03-2020 00:00,2683448
264,29-03-2020 00:00,2791497
265,30-03-2020 00:00,2861347
266,31-03-2020 00:00,3159040
267,01-04-2020 00:00,3076391
268,02-04-2020 00:00,2602866
269,03-04-2020 00:00,2592377
270,04-04-2020 00:00,2615630
271,05-04-2020 00:00,2723678
272,06-04-2020 00:00,2793528
273,07-04-2020 00:00,3091222
274,08-04-2020 00:00,3083210
275,09-04-2020 00:00,2609686
276,10-04-2020 00:00,2599197
277,11-04-2020 00:00,2622449
278,12-04-2020 00:00,2730498
279,13-04-2020 00:00,2800348
280,14-04-2020 00:00,3098042
281,15-04-2020 00:00,3090030
282,16-04-2020 00:00,2616506
283,17-04-2020 00:00,2606017
284,18-04-2020 00:00,2629269
285,19-04-2020 00:00,2737318
286,20-04-2020 00:00,2807168
287,21-04-2020 00:00,3104861
288,22-04-2020 00:00,3096850
289,23-04-2020 00:00,2623326
290,24-04-2020 00:00,2612837
291,25-04-2020 00:00,2636089
292,26-04-2020 00:00,2744137
293,27-04-2020 00:00,2813988
294,28-04-2020 00:00,3111681
295,29-04-2020 00:00,3103670
296,30-04-2020 00:00,2630145
297,01-05-2020 00:00,2774631
298,02-05-2020 00:00,2797883
299,03-05-2020 00:00,2905932
300,04-05-2020 00:00,2975782
301,05-05-2020 00:00,3273476
302,06-05-2020 00:00,3265464
303,07-05-2020 00:00,2791940
304,08-05-2020 00:00,2781451
305,09-05-2020 00:00,2804703
306,10-05-2020 00:00,2912752
307,11-05-2020 00:00,2982602
308,12-05-2020 00:00,3280295
309,13-05-2020 00:00,3272284
310,14-05-2020 00:00,2798760
311,15-05-2020 00:00,2788271
312,16-05-2020 00:00,2811523
313,17-05-2020 00:00,2919571
314,18-05-2020 00:00,2989422
315,19-05-2020 00:00,3287115
316,20-05-2020 00:00,3279104
317,21-05-2020 00:00,2805579
318,22-05-2020 00:00,2795090
319,23-05-2020 00:00,2818342
320,24-05-2020 00:00,2926391
321,25-05-2020 00:00,2996241
322,26-05-2020 00:00,3293935
323,27-05-2020 00:00,3285923
324,28-05-2020 00:00,2812399
325,29-05-2020 00:00,2801910
326,30-05-2020 00:00,2825162
327,31-05-2020 00:00,2933211
328,01-06-2020 00:00,3015863
329,02-06-2020 00:00,3313556
330,03-06-2020 00:00,3305545
331,04-06-2020 00:00,2832020
332,05-06-2020 00:00,2821532
333,06-06-2020 00:00,2844784
334,07-06-2020 00:00,2952832
335,08-06-2020 00:00,3022682
336,09-06-2020 00:00,3320376
337,10-06-2020 00:00,3312364
338,11-06-2020 00:00,2838840
339,12-06-2020 00:00,2828351
340,13-06-2020 00:00,2851603
341,14-06-2020 00:00,2959652
342,15-06-2020 00:00,3029502
343,16-06-2020 00:00,3327196
344,17-06-2020 00:00,3319184
345,18-06-2020 00:00,2845660
346,19-06-2020 00:00,2835171
347,20-06-2020 00:00,2858423
348,21-06-2020 00:00,2966472
349,22-06-2020 00:00,3036322
350,23-06-2020 00:00,3334015
351,24-06-2020 00:00,3326004
352,25-06-2020 00:00,2852480
353,26-06-2020 00:00,2841991
354,27-06-2020 00:00,2865243
355,28-06-2020 00:00,2973291
356,29-06-2020 00:00,3043142
357,30-06-2020 00:00,3340835
358,01-07-2020 00:00,3085286
359,02-07-2020 00:00,2611762
360,03-07-2020 00:00,2601273
361,04-07-2020 00:00,2624525
362,05-07-2020 00:00,2732574
363,06-07-2020 00:00,2802424
364,07-07-2020 00:00,3100118
365,08-07-2020 00:00,3092106
