,Date,Transaction Count
321,25-05-2020 00:00,2508036
322,26-05-2020 00:00,2522763
323,27-05-2020 00:00,2580907
324,28-05-2020 00:00,2811506
325,29-05-2020 00:00,2953151
326,30-05-2020 00:00,3336024
327,31-05-2020 00:00,3313281
328,01-06-2020 00:00,2754980
329,02-06-2020 00:00,2971042
330,03-06-2020 00:00,2936537
331,04-06-2020 00:00,2900081
332,05-06-2020 00:00,3055093
333,06-06-2020 00:00,3276655
334,07-06-2020 00:00,3253147
335,08-06-2020 00:00,2736234
336,09-06-2020 00:00,2954249
337,10-06-2020 00:00,3117955
338,11-06-2020 00:00,3436167
339,12-06-2020 00:00,3322069
340,13-06-2020 00:00,3839665
341,14-06-2020 00:00,4393606
342,15-06-2020 00:00,3673336
343,16-06-2020 00:00,2873693
344,17-06-2020 00:00,2922057
345,18-06-2020 00:00,2813683
346,19-06-2020 00:00,2952696
347,20-06-2020 00:00,3337925
348,21-06-2020 00:00,3109103
349,22-06-2020 00:00,2520783
350,23-06-2020 00:00,3030170
351,24-06-2020 00:00,2888706
352,25-06-2020 00:00,3028326
353,26-06-2020 00:00,3017158
354,27-06-2020 00:00,3251202
355,28-06-2020 00:00,3016771
356,29-06-2020 00:00,2641140
357,30-06-2020 00:00,2799810
358,01-07-2020 00:00,2856577
359,02-07-2020 00:00,2892645
360,03-07-2020 00:00,2535667
361,04-07-2020 00:00,2891700
362,05-07-2020 00:00,2872430
363,06-07-2020 00:00,2394292
364,07-07-2020 00:00,2653210
365,08-07-2020 00:00,2669544
366,09-07-2020 00:00,2635133
367,10-07-2020 00:00,2894164
368,11-07-2020 00:00,3015009
369,12-07-2020 00:00,3070852
370,13-07-2020 00:00,2716223
371,14-07-2020 00:00,2501297
372,15-07-2020 00:00,2732574
373,16-07-2020 00:00,2799147
374,17-07-2020 00:00,2745188
375,18-07-2020 00:00,2964769
376,19-07-2020 00:00,2999346
377,20-07-2020 00:00,2886977
378,21-07-2020 00:00,2794519
379,22-07-2020 00:00,2585736
380,23-07-2020 00:00,2568290
381,24-07-2020 00:00,2754935
382,25-07-2020 00:00,2837416
383,26-07-2020 00:00,2876367
384,27-07-2020 00:00,2863049
385,28-07-2020 00:00,2567417
386,29-07-2020 00:00,2681175
387,30-07-2020 00:00,2868936
388,31-07-2020 00:00,2823071
389,01-08-2020 00:00,2785647
390,02-08-2020 00:00,3084233
391,03-08-2020 00:00,2953582
392,04-08-2020 00:00,2633816
393,05-08-2020 00:00,2654103
394,06-08-2020 00:00,2741462
395,07-08-2020 00:00,2801595
396,08-08-2020 00:00,2848576
397,09-08-2020 00:00,3121944
398,10-08-2020 00:00,2949135
399,11-08-2020 00:00,2589202
400,12-08-2020 00:00,2780022
401,13-08-2020 00:00,2966720
402,14-08-2020 00:00,2753519
403,15-08-2020 00:00,3016788
404,16-08-2020 00:00,3060175
405,17-08-2020 00:00,2967154
406,18-08-2020 00:00,2638732
407,19-08-2020 00:00,2616747
408,20-08-2020 00:00,2541282
409,21-08-2020 00:00,2692889
410,22-08-2020 00:00,3018239
411,23-08-2020 00:00,3024735
412,24-08-2020 00:00,2950621
413,25-08-2020 00:00,2599112
414,26-08-2020 00:00,2633532
415,27-08-2020 00:00,2869769
416,28-08-2020 00:00,2735330
417,29-08-2020 00:00,2813426
418,30-08-2020 00:00,3419700
419,31-08-2020 00:00,3138236
420,01-09-2020 00:00,2618100
421,02-09-2020 00:00,2642879
422,03-09-2020 00:00,2550620
423,04-09-2020 00:00,2630986
424,05-09-2020 00:00,2741101
425,06-09-2020 00:00,2870045
